12.58 0.283 0.014
13.38 0.249 0.011
14.43 0.214 0.008
15.87 0.176 0.0054
16.83 0.157 0.0043
18.01 0.137 0.00333
19.54 0.116 0.00249
21.59 0.095 0.00178
24.54 0.074 0.00122
29.32 0.052 0.00082
39.04 0.029 0.0006
13.13 0.282 0.014
13.96 0.249 0.011
14.47 0.232 0.009
15.06 0.214 0.008
15.75 0.195 0.007
16.57 0.176 0.0054
17.56 0.157 0.0043
18.80 0.137 0.0033
20.39 0.116 0.00249
22.53 0.095 0.00178
25.61 0.074 0.00122
30.59 0.052 0.0006
40.73 0.029 0.0006
13.66 0.282 0.014
14.07 0.266 0.012
15.06 0.231 0.009
16.39 0.195 0.007
17.24 0.176 0.0054
18.27 0.157 0.0043
19.56 0.137 0.0033
21.21 0.116 0.00249
23.43 0.095 0.00178
26.63 0.074 0.00122
31.81 0.052 0.00082
42.36 0.029 0.0006
14.18 0.282 0.014
15.08 0.249 0.011
16.26 0.213 0.008
17.00 0.195 0.007
17.88 0.176 0.0054
18.96 0.157 0.0043
20.29 0.137 0.0033
22.00 0.116 0.00249
24.30 0.095 0.00178
27.63 0.074 0.00122
33.00 0.052 0.00082
43.94 0.029 0.0006
14.67 0.282 0.014
15.60 0.248 0.011
16.82 0.213 0.008
17.59 0.195 0.007
18.51 0.176 0.0054
19.61 0.157 0.0043
20.99 0.137 0.0033
22.76 0.116 0.00249
25.14 0.095 0.00178
28.58 0.074 0.00122
34.13 0.052 0.00082
45.45 0.029 0.0006
16.11 0.248 0.011
17.37 0.213 0.008
18.16 0.195 0.007
19.11 0.176 0.0054
20.25 0.157 0.0043
21.67 0.137 0.0033
23.50 0.116 0.00249
25.96 0.095 0.00178
29.50 0.074 0.00122
35.24 0.052 0.00082
46.92 0.029 0.0006
15.60 0.265 0.012
16.70 0.231 0.009
17.37 0.213 0.008
18.16 0.195 0.007
19.11 0.176 0.0054
20.25 0.157 0.0043
21.67 0.137 0.0033
23.50 0.116 0.00249
25.96 0.095 0.00178
29.50 0.074 0.00122
34.24 0.052 0.00082
46.92 0.029 0.0006
15.62 0.281 0.014
17.21 0.231 0.009
17.90 0.213 0.008
18.72 0.195 0.007
19.69 0.176 0.0054
20.87 0.156 0.0043
22.33 0.137 0.00333
24.22 0.116 0.00249
26.75 0.095 0.00178
30.40 0.074 0.00122
36.31 0.052 0.00082
48.34 0.029 0.0006
16.07 0.281 0.014
17.08 0.248 0.011
17.70 0.231 0.009
18.42 0.213 0.008
19.26 0.195 0.007
20.26 0.176 0.0054
21.47 0.156 0.0043
22.97 0.137 0.0033
24.91 0.116 0.00248
27.52 0.095 0.00178
31.27 0.074 0.00122
37.35 0.052 0.00082
49.72 0.029 0.0006
16.57 0.281 0.014
17.55 0.248 0.011
18.92 0.213 0.008
20.81 0.176 0.0054
22.05 0.156 0.0043
23.60 0.137 0.0033
25.59 0.113 0.00248
28.26 0.095 0.00178
32.12 0.074 0.00122
38.35 0.052 0.00082
51.06 0.029 0.0006
16.94 0.281 0.014
18.00 0.248 0.011
19.41 0.213 0.008
20.29 0.195 0.007
21.35 0.176 0.0054
22.62 0.156 0.0043
24.21 0.137 0.0033
26.25 0.116 0.00248
28.99 0.095 0.00178
32.95 0.074 0.00122
39.34 0.052 0.00082
52.38 0.029 0.0006
17.56 0.281 0.014
18.08 0.264 0.012
19.34 0.231 0.009
20.12 0.213 0.008
21.04 0.194 0.007
23.45 0.156 0.0043
27.20 0.116 0.00248
30.05 0.095 0.00178
34.15 0.074 0.00122
40.77 0.052 0.00082
54.28 0.029 0.0006
18.16 0.281 0.014
19.30 0.248 0.011
20.00 0.230 0.009
21.75 0.194 0.007
24.25 0.156 0.0043
28.13 0.116 0.00248
31.07 0.095 0.00178
35.31 0.074 0.00122
42.16 0.052 0.00082
56.12 0.029 0.0006
19.30 0.280 0.014
20.52 0.247 0.011
22.12 0.213 0.008
25.77 0.156 0.0043
29.89 0.116 0.00248
33.02 0.095 0.00177
37.52 0.074 0.00122
44.80 0.052 0.00082
59.63 0.026 0.0006
19.30 0.280 0.014
24.32 0.176 0.0054
27.57 0.136 0.0033
33.02 0.095 0.00178
37.52 0.074 0.00122
44.80 0.052 0.00082
22.39 0.280 0.014
24.66 0.230 0.009
29.88 0.156 0.0043
34.65 0.116 0.00248
38.27 0.095 0.00177
43.48 0.074 0.00122
25.94 0.280 0.014










