0.283	0.014
0.249	0.011
0.214	0.008
0.176	0.0054
0.157	0.0043
0.137	0.00333
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.282	0.014
0.249	0.011
0.232	0.009
0.214	0.008
0.195	0.007
0.176	0.0054
0.157	0.0043
0.137	0.0033
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.0006
0.029	0.0006
0.282	0.014
0.266	0.012
0.231	0.009
0.195	0.007
0.176	0.0054
0.157	0.0043
0.137	0.0033
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.282	0.014
0.249	0.011
0.213	0.008
0.195	0.007
0.176	0.0054
0.157	0.0043
0.137	0.0033
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.282	0.014
0.248	0.011
0.213	0.008
0.195	0.007
0.176	0.0054
0.157	0.0043
0.137	0.0033
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.248	0.011
0.213	0.008
0.195	0.007
0.176	0.0054
0.157	0.0043
0.137	0.0033
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.265	0.012
0.231	0.009
0.213	0.008
0.195	0.007
0.176	0.0054
0.157	0.0043
0.137	0.0033
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.281	0.014
0.231	0.009
0.213	0.008
0.195	0.007
0.176	0.0054
0.156	0.0043
0.137	0.00333
0.116	0.00249
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.281	0.014
0.248	0.011
0.231	0.009
0.213	0.008
0.195	0.007
0.176	0.0054
0.156	0.0043
0.137	0.0033
0.116	0.00248
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.281	0.014
0.248	0.011
0.213	0.008
0.176	0.0054
0.156	0.0043
0.137	0.0033
0.113	0.00248
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.281	0.014
0.248	0.011
0.213	0.008
0.195	0.007
0.176	0.0054
0.156	0.0043
0.137	0.0033
0.116	0.00248
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.281	0.014
0.264	0.012
0.231	0.009
0.213	0.008
0.194	0.007
0.156	0.0043
0.116	0.00248
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.281	0.014
0.248	0.011
0.23	0.009
0.194	0.007
0.156	0.0043
0.116	0.00248
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.029	0.0006
0.28	0.014
0.247	0.011
0.213	0.008
0.156	0.0043
0.116	0.00248
0.095	0.00177
0.074	0.00122
0.052	0.00082
0.026	0.0006
0.28	0.014
0.176	0.0054
0.136	0.0033
0.095	0.00178
0.074	0.00122
0.052	0.00082
0.28	0.014
0.23	0.009
0.156	0.0043
0.116	0.00248
0.095	0.00177
0.074	0.00122
