ESC_throttle voltage current force torque rotation_speed electrical_power
1200 6.80 07.00 0.49 0.07 5610 51.50
1400 7.90 08.45 1.04 0.082 6120 132.11
1600 8.90 09.90 1.39 0.096 6690 216.19
1800 9.90 11.45 2.01 0.110 7170 322.96
2000 10.9 13.00 2.60 0.126 7650 460.09
