x,y,z,v_x,v_y,v_z,a_x,a_y,a_z,t,cl,cd_total,drag,Thrust_N,LIFT_x,LIFT_y,LIFT_z,THRUST_x,THRUST_y,THRUST_z,DRAG_x,DRAG_y,DRAG_z,Corriente_real
3.25852057273664,0,5.86815740112003e-18,32.3974154689958,0,1.17367871486481e-16,-3.66218614423949,0,-2.10001073783488e-17,0.1,0.085972845910225,0.0508013142757593,46.3737951460255,17.0763059921096,0,0,78.48,17.0763059921096,0,0,-46.3737951460255,-0,-1.68000859026791e-16,28.9652793759308
6.48040072029382,0,2.04351918828856e-17,32.0445971673365,0,2.03593268365049e-16,-3.39773350898394,0,-3.60399027739343e-17,0.2,0.087876429144585,0.0508134177048228,45.3800531074518,18.1981850355803,0,0,78.48,18.1981850355803,0,0,-45.3800531074518,-0,-2.88319222191475e-16,30.1969908462283
9.66828657503013,0,4.65110958906052e-17,31.7171900945062,0,3.47032848864992e-16,-3.15364116442419,0,-6.08189783179581e-17,0.3,0.0897000373172124,0.0508261081518605,44.4685764583579,19.2394471429643,0,0,78.48,19.2394471429643,0,0,-44.4685764583579,-0,-4.86551826543665e-16,31.3377982169203
12.8246201031053,0,8.09130052141331e-17,31.4132361832136,0,3.41032162014902e-16,-2.92840550738454,0,-5.92098720502767e-17,0.4,0.0914443073625013,0.0508392495540985,43.6316313183841,20.2043872593077,0,0,78.48,20.2043872593077,0,0,-43.6316313183841,-0,-4.73678976402214e-16,32.3432271946385
15.9516553919342,0,1.17657749551493e-16,31.130941022551,0,3.9389250672009e-16,-2.72021816530697,0,-6.77908531337359e-17,0.5,0.0931102594004985,0.0508527166016852,42.8623142561977,21.100568933742,0,0,78.48,21.100568933742,0,0,-42.8623142561977,-0,-5.42326825069887e-16,33.2770126280711
19.0514754922038,0,1.56710908959719e-16,30.8686717286078,0,3.87198947797816e-16,-2.52766376705379,0,1.71026162154463e-15,0.6,0.0946991649283562,0.0508663943879757,42.1544860990954,21.933175962665,0,0,78.48,21.933175962665,0,0,-42.1544860990954,-0,-5.28761742844954e-16,34.1445558255738
22.1260070141825,0,2.00974107078974e-16,30.6249303102037,0,4.68490134037881e-16,-2.34945103864508,0,-7.93617365792483e-17,0.7,0.0962125700459064,0.0508801789838443,41.5026481960399,22.7070398868793,0,0,78.48,22.7070398868793,0,0,-41.5026481960399,-0,-6.34893892633986e-16,34.9627413526551
25.1770332563834,0,2.47429491226675e-16,30.3983482058117,0,4.60648965122581e-16,-2.1843070696824,0,-7.74771161382591e-17,0.8,0.0976522070051108,0.0508939768932129,40.901884648345,23.4274280908858,0,0,78.48,23.4274280908858,0,0,-40.901884648345,-0,-6.19816929106073e-16,35.7207883259057
28.2062058121087,0,2.96045810425596e-16,30.187648981494,0,5.41317443164057e-16,-2.03161278910079,0,-1.86679502010866e-15,0.9,0.0990201206365048,0.0509077063876783,40.3477270237955,24.0948247109892,0,0,78.48,24.0948247109892,0,0,-40.3477270237955,-0,-7.2350544566725e-16,36.3898793902271
31.2150529674782,0,3.49753261718801e-16,29.9916543810492,0,5.91586097539138e-16,-1.89006208755048,0,-9.82211030025794e-17,1,0.100318536666715,0.0509212963475053,39.8361406589194,24.7156439585156,0,0,78.48,24.7156439585156,0,0,-39.8361406589194,-0,-7.85768824020635e-16,37.0122748273127
