0.280 0.014
0.276 0.01314
0.272 0.01275
0.268 0.01238
0.263 0.012
0.259 0.01163
0.255 0.01126
0.251 0.0109
0.247 0.01054
0.243 0.01018
0.238 0.00982
0.234 0.00947
0.230 0.00913
0.225 0.00878
0.221 0.00845
0.217 0.00811
0.212 0.00779
0.208 0.00746
0.203 0.00715
0.199 0.00683
0.194 0.00652
0.189 0.00622
0.185 0.00593
0.180 0.00564
0.175 0.00535
0.171 0.00507
0.166 0.00480
0.161 0.00454
0.156 0.00428
0.151 0.00403
0.146 0.00378
0.141 0.00355
0.136 0.00332
0.131 0.00310
0.126 0.00288
0.121 0.00268
0.116 0.00248
0.111 0.00229
0.106 0.00211
0.100 0.00194
0.095 0.00177
0.08976 0.00162
0.0844 0.00148
0.079 0.00134
0.07364 0.00122
0.06820 0.0011
0.06273 0.001
0.05722 0.0009
0.05168 0.00082
0.02919 0.0006
0.00618 0.00056















